"ID2009","Candidate","State","Constituency_No2009","Position2009","Sex","Party2009","Constituency_Name2009","Vote_Share_Percentage2009","Margin_Percentage2009","ReNominated","ID2014","Candidate2014","Constituency_No2014","Position2014","Party2014","Constituency_Name2014","Vote_Share_Percentage2014","Margin_Percentage2014","PostGraduate","CriminalCase","Moveable","Immoveable"
707,"SAROJ PANDEY","Chhattisgarh",7,1,"F","BJP","DURG",31.27,1.1,1,707,"SAROJ PANDEY",7,2,"BJP","DURG",44.01,42.63,1,0,2.8e+07,NA
707,"PRADEEP CHOUBEY","Chhattisgarh",7,2,"M","INC","DURG",30.17,1.25,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1805409,15100000
707,"TARACHAND SAHU BHILAI NAGAR","Chhattisgarh",7,3,"M","IND","DURG",28.92,26.91,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,226000,4e+06
708,"RAMESH BAIS","Chhattisgarh",8,1,"M","BJP","RAIPUR",49.19,7.8,1,708,"RAMESH BAIS",8,1,"BJP","RAIPUR",52.36,13.72,0,0,4092079,18400000
708,"BHUPESH BAGHEL","Chhattisgarh",8,2,"M","INC","RAIPUR",41.39,39.12,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5134165,2172600
709,"CHANDULAL SAHU (CHANDU BHAIYA)","Chhattisgarh",9,1,"M","BJP","MAHASAMUND",47.82,6.63,1,709,"CHANDU LAL SAHU (CHANDU BHAIYA)",9,1,"BJP","MAHASAMUND",44.51,0.11,1,0,NA,NA
709,"MOTILAL SAHU","Chhattisgarh",9,2,"M","INC","MAHASAMUND",41.19,38.74,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,498543,2152000
7010,"BALIRAM KASHYAP","Chhattisgarh",10,1,"M","BJP","BASTAR",44.16,17.75,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3316839,6235500
7010,"SHANKAR SODI","Chhattisgarh",10,2,"M","INC","BASTAR",26.4,12.52,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,510000,NA
7011,"SOHAN POTAI","Chhattisgarh",11,1,"M","BJP","KANKER",45.99,2.6,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3138761,NA
7011,"SMT. PHOOLO DEVI NETAM","Chhattisgarh",11,2,"F","INC","KANKER",43.39,40.55,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2423426,1490935
801,"PATEL NATUBHAI GOMANBHAI","Dadra_Nagar_&_Haveli",1,1,"M","BJP","DADAR & NAGAR HAVELI",46.43,0.56,1,801,"PATEL NATUBHAI GOMANBHAI",1,1,"BJP","DADAR & NAGAR HAVELI",48.88,3.76,0,1,15300000,74500000
801,"DELKAR MOHANBHAI SANJIBHAI","Dadra_Nagar_&_Haveli",1,2,"M","INC","DADAR & NAGAR HAVELI",45.87,40.7,1,801,"DELKAR MOHANBHAI SANJIBHAI",1,2,"INC","DADAR & NAGAR HAVELI",45.12,43.33,0,0,27900000,79900000
901,"LALUBHAI PATEL","Daman_&_Diu",1,1,"M","BJP","DAMAN & DIU",65.49,36.51,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,16100000,18500000
901,"DAHYABHAI VALLABHBHAI PATEL","Daman_&_Diu",1,2,"M","INC","DAMAN & DIU",28.97,25.82,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,27800000,94600000
1001,"KAPIL SIBAL","Delhi",1,1,"M","INC","CHANDNI CHOWK",59.67,25.72,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,62400000,2.52e+08
1001,"VIJENDER GUPTA","Delhi",1,2,"M","BJP","CHANDNI CHOWK",33.96,30.56,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.1e+07,48200000
1002,"JAI PRAKASH AGARWAL","Delhi",2,1,"M","INC","NORTH EAST DELHI",59.03,25.32,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6747875,23500000
1002,"B.L.SHARMA PREM","Delhi",2,2,"M","BJP","NORTH EAST DELHI",33.71,28.69,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1327607,NA
1003,"SANDEEP DIKSHIT","Delhi",3,1,"M","INC","EAST DELHI",60.41,28.11,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5444728,12300000
1003,"CHETAN CHAUHAN","Delhi",3,2,"M","BJP","EAST DELHI",32.3,27,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10500000,11800000
1004,"AJAY MAKAN","Delhi",4,1,"M","INC","NEW DELHI",59.59,24.55,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25400000,16700000
